line,DoxConc,MEFLs,MEPTRs
669,4.265795188,82599.57677,3659.299892
669,5.623413252,356667.7217,14708.80145
669,7.58577575,968947.0436,42030.00821
669,10,2286246.205,114664.6296
669,12.02264435,3959040.526,256973.0328
669,17.7827941,5787203.443,459373.8185
669,21.3796209,6525668.732,564783.5936
669,31.6227766,7141919.302,674429.3732
669,56.23413252,7490667.13,735249.5708
669,100,7739794.226,692629.9111
669,1000,5303954.696,443170.8342
670,0,2544.435786,329.8700058
670,1,2571.284475,489.5478797
670,1.479108388,3031.034449,498.2352457
670,2.13796209,6853.153272,804.8369295
670,3.16227766,29030.95884,4700.812334
670,4.265795188,166464.6051,17510.43218
670,5.623413252,600880.4485,61260.30356
670,7.58577575,1488747.8,156018.2238
670,10,3035986.794,348672.7525
670,12.02264435,4645339.024,623221.7465
670,17.7827941,6404083.168,973015.1299
670,21.3796209,6933916.623,1117612.112
670,31.6227766,7518257.643,1253557.452
670,56.23413252,7650736.204,1277198.263
670,100,7940020.105,1296942.407
670,1000,5399518.125,847016.9375
671,0,2899.116072,324.6677611
671,1,3357.194779,322.736096
671,1.479108388,3271.301648,315.8000327
671,2.13796209,5389.623034,398.6595791
671,3.16227766,17149.34449,466.8941306
671,4.265795188,78363.86426,1054.056302
671,5.623413252,240373.525,2459.628854
671,7.58577575,820116.9615,8545.467679
671,10,2020096.486,25851.57809
671,12.02264435,3469335.969,51219.46562
671,17.7827941,5428578.334,104755.6511
671,21.3796209,6232551.555,126661.3651
671,31.6227766,7136462.561,191143.1183
671,56.23413252,7421708.226,197531.262
671,100,7763743.996,185200.4236
671,1000,5321649.698,97874.17535
672,0,2616.419054,976.1367387
672,1,2753.116487,999.4138685
672,1.479108388,3160.599948,1014.743092
672,2.13796209,8234.575537,1839.026686
672,3.16227766,26653.67992,1533.569751
672,4.265795188,122193.0114,3384.04616
672,5.623413252,488569.1845,10723.90504
672,7.58577575,1097330.301,24093.15393
672,10,2860071.583,73388.26109
672,12.02264435,4374100.482,146943.0366
672,17.7827941,5854727.156,233352.9661
672,21.3796209,6713729.955,305629.348
672,31.6227766,7393062.409,384093.3626
672,56.23413252,7854584.643,416559.7459
672,100,8036125.535,397994.7178
672,1000,5648405.639,384116.6073
