,CellLine,DoxConc,Mean FITC-A,Mean PE-Texas Red-A,MEFLs,MEPTRs,Mean FITC-A_stdErr,Mean PE-Texas Red-A_stdErr,MEFLs_stdErr,MEPTRs_stdErr,
12,373,31.622776601683793,12289.454,0.15622495,8652380.762577498,61.38963888238098,97.37469159160385,0.05748370710815972,110990.25344476449,22.6246303192497,
13,373,56.23413251903491,13598.155,0.0,9573770.821884869,0.0,44.89432208707289,0.059817111461958505,101621.55004703991,,
14,373,100.0,13710.602,0.10583208,9652938.545712724,41.587422342009,70.52304554350229,0.06137245626880824,109307.28819866553,24.132208536732737,
15,373,1000.0,14513.676,0.27815157,10218342.335320516,109.30151950028953,105.83090495585357,0.029650537476888915,127192.63632498022,11.870876123233225,
16,664,0.0,4.451535,0.9869016,3134.0999710548354,387.80957358261287,0.06646619825169618,0.11033447626549402,56.475258178708245,44.09986754615963,
17,664,1.0,4.799678,1.1583599,3379.2095191912704,455.18526027157617,0.37591044299685206,0.029721341725869058,266.84591088496865,15.0315528969258,
18,664,1.4791083881682074,4.897413,1.100614,3448.0197206050125,432.4936096712811,0.45793600400977624,0.09808883408683626,324.2804363730332,39.5794096445333,
19,664,2.137962089502232,10.301178,2.5154212,7252.536478562011,988.4515567497978,1.5594397185402018,1.0849892385838509,1100.3574258549038,426.8486750328306,
20,664,3.1622776601683795,36.33798,5.8935204,25583.725879193047,2315.8982204473264,5.216082089553468,0.8116562061060838,3681.4366004911485,322.558986591103,
21,664,4.265795188015927,131.33234,17.262377,92464.43103199435,6783.366352892437,5.730676152582142,1.6357037580069527,4141.101622969849,658.0482276731041,
22,664,5.623413251903491,772.1711,111.592834,543646.4594885135,43851.15027910144,19.937289410318716,1.2011368383256984,15070.195185621587,1026.5564599538736,
23,664,7.5857757502918375,1833.7885,300.08505,1291077.3574546815,117920.42737731246,245.10129334039434,46.24803738460937,173054.2022283918,18338.06694614045,
24,664,10.0,4182.799,735.4201,2944896.316395295,288988.246370542,65.13337559320541,15.337728668494423,54639.36497500476,8509.890017594442,
25,664,12.02264434617413,6107.513,1228.2277,4299989.986552477,482640.26986859477,37.893390659359405,7.537181301515526,50926.08603902879,10461.533767659903,
26,664,17.78279410038923,9280.098,2400.8167,6533645.658481219,943416.9516918651,37.27774477218627,7.082486910456142,70945.08004749782,19809.005061324016,
27,664,21.379620895022324,10012.118,2905.1316,7049024.1372375535,1141590.87914973,78.6949401529807,8.916518961929604,90147.20848573481,23989.57624732322,
28,664,31.622776601683793,11174.495,3574.3616,7867394.742226712,1404569.2736272544,84.37787947867717,35.66141773683533,99137.28951403327,32387.900924132817,
29,664,56.23413251903491,12221.327,4069.6536,8604416.03332587,1599197.5728732196,207.8650024514428,78.77689647552512,170153.15912965912,45426.05432968309,
30,664,100.0,12239.758,4055.612,8617392.128265321,1593679.8700489542,151.9290855174336,49.82614488710038,137836.74633660034,38483.78706237505,
31,664,1000.0,13362.805,4002.4724,9408072.421825906,1572798.2899688066,31.541260296707474,46.82530396197225,97472.70072731862,37518.530973157045,
32,665,0.0,5.3177934,1.7791485,3743.988355185345,699.1282803432264,0.5329343766608573,0.18711097331362414,377.1082369744383,74.94922226466511,
33,665,1.0,4.8734627,3.1192,3431.1576710530985,1225.7104877047223,0.25173575780525514,0.5144321165909097,180.58276808268243,203.74916204645027,
34,665,1.4791083881682074,5.074647,9.869928,3572.8013044503987,3878.4543273137697,0.33837032559201224,1.9122121264207226,240.9404682073742,755.7299541829494,
35,665,2.137962089502232,6.9075103,14.896516,4863.227330956055,5853.685481652439,0.5194919620074572,4.164315890816228,369.0236925881911,1640.914333754362,
36,665,3.1622776601683795,18.362703,33.698723,12928.247233031647,13242.13840812919,1.9011478034316447,2.358465960789567,1344.8406517215624,966.7965264918781,
37,665,4.265795188015927,47.581524,81.40662,33499.735513325824,31989.274025059938,3.043310672970345,15.40128930727951,2169.128264092222,6088.467261254841,
38,665,5.623413251903491,198.22029,237.57031,139556.84439834056,93354.8424011334,6.792774988297162,11.028747050323304,4985.366713699778,4748.521165287832,
39,665,7.5857757502918375,445.26257,503.6534,313486.77420314663,197913.97500254618,10.395217541225502,21.337006581148362,7972.785471117497,9339.616084219984,
40,665,10.0,1282.9331,1006.9466,903248.0718586431,395686.39541808394,40.92002628645572,40.94564919993744,30216.36725285329,18070.651298416444,
41,665,12.02264434617413,1876.306,1535.4108,1321011.8258208039,603349.9246127072,4.585483996808096,52.3490746477062,13711.948807226227,24093.31443666729,
